bin,brand,type,category,issuer,alpha_2,alpha_3,country,latitude,longitude,bank_phone,bank_url
417882,VISA,CREDIT,CLASSIC,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
417883,VISA,CREDIT,PREMIER,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
417945,VISA,CREDIT,CLASSIC,"BANCO TERRITORIAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
418788,VISA,CREDIT,PREMIER,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
419560,VISA,CREDIT,PREMIER,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
419561,VISA,CREDIT,PLATINUM,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
421883,VISA,CREDIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
421906,VISA,CREDIT,CLASSIC,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
421907,VISA,CREDIT,PLATINUM,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
422019,VISA,CREDIT,PLATINUM,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
422139,VISA,DEBIT,CLASSIC,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
422140,VISA,DEBIT,CLASSIC,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
422148,VISA,DEBIT,CLASSIC,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
422226,VISA,CREDIT,CLASSIC,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
422249,VISA,DEBIT,CLASSIC,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
422282,VISA,CREDIT,SIGNATURE,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
422602,VISA,CREDIT,BUSINESS,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
422603,VISA,DEBIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
423200,VISA,CREDIT,CORPORATE T&E,CHASE MANHATTAN BANK,EC,ECU,Ecuador,-1.83124,-78.1834,1-713-262-3300,www.chase.com
423771,VISA,CREDIT,INFINITE,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
426018,VISA,CREDIT,CORPORATE T&E,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
427698,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
428930,VISA,,,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
432448,VISA,CREDIT,PLATINUM,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
433425,VISA,CREDIT,,"BANCO DE CREDITO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
433426,VISA,CREDIT,,"BANCO DE CREDITO E HIPOTECARIO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,0810-222-2472,www.hipotecario.com.ar
433427,VISA,CREDIT,,"BANCO DE CREDITO E HIPOTECARIO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,0810-222-2472,www.hipotecario.com.ar
433437,VISA,CREDIT,SIGNATURE,"BANCO DE GUAYAQUIL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
433820,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
434900,VISA,CREDIT,CLASSIC,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
434901,VISA,CREDIT,PREMIER,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
434947,VISA,CREDIT,CLASSIC,"BANCO PROMERICA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(503) 2513 5000,www.promerica.com.sv/
434948,VISA,CREDIT,PREMIER,"BANCO PROMERICA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(503) 2513 5000,www.promerica.com.sv/
434962,VISA,DEBIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
436402,VISA,DEBIT,CLASSIC,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
436403,VISA,DEBIT,PREMIER,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
438106,VISA,DEBIT,PREMIER,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
438107,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
438108,VISA,DEBIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
439098,VISA,DEBIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
439471,VISA,CREDIT,CORPORATE T&E,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
439472,VISA,CREDIT,PREMIER,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
439473,VISA,CREDIT,CLASSIC,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
439474,VISA,CREDIT,BUSINESS,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
440699,VISA,CREDIT,BUSINESS,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
440826,VISA,CREDIT,PURCHASING,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
442288,VISA,CREDIT,PREMIER,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
442289,VISA,CREDIT,PLATINUM,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
442290,VISA,CREDIT,SIGNATURE,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
444088,VISA,DEBIT,ELECTRON,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
445444,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
445445,VISA,CREDIT,PREMIER,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
445446,VISA,CREDIT,PLATINUM,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
445447,VISA,CREDIT,SIGNATURE,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
446004,VISA,CREDIT,PREMIER,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
446005,VISA,CREDIT,PLATINUM,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
446141,VISA,DEBIT,CLASSIC,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
447889,VISA,CREDIT,CLASSIC,BANCO UNIVERSAL S.A. UNIBANCO,EC,ECU,Ecuador,-1.83124,-78.1834,,
447890,VISA,CREDIT,PREMIER,BANCO UNIVERSAL S.A. UNIBANCO,EC,ECU,Ecuador,-1.83124,-78.1834,,
449741,VISA,CREDIT,CLASSIC,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
449742,VISA,CREDIT,CLASSIC,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
449743,VISA,CREDIT,PREMIER,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
450059,VISA,CREDIT,CLASSIC,"BANCO DE LA PRODUCCION,S.A. (PRODUBANCO)",EC,ECU,Ecuador,-1.83124,-78.1834,1700 123 123,www.produbanco.com.ec
450080,VISA,CREDIT,CLASSIC,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
450081,VISA,CREDIT,PREMIER,INTERDIN S.A. EMISORA Y ADMINISTRADORA DE TARJETAS DE CREDIT,EC,ECU,Ecuador,-1.83124,-78.1834,,
450661,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
451375,VISA,CREDIT,CLASSIC,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
451432,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454063,VISA,CREDIT,CLASSIC,"BANCO DE GUAYAQUIL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454064,VISA,CREDIT,CLASSIC,"BANCO DE GUAYAQUIL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454086,VISA,CREDIT,PREMIER,"BANCO DE GUAYAQUIL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454437,VISA,DEBIT,ELECTRON,"BANCO DE GUAYAQUIL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454460,VISA,CREDIT,,BANCO DEL AZUAY,EC,ECU,Ecuador,-1.83124,-78.1834,,
454461,VISA,CREDIT,,BANCO DEL AZUAY,EC,ECU,Ecuador,-1.83124,-78.1834,,
454729,VISA,CREDIT,,"BANCO DE CREDITO E HIPOTECARIO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,0810-222-2472,www.hipotecario.com.ar
454730,VISA,CREDIT,,"BANCO DE CREDITO E HIPOTECARIO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,0810-222-2472,www.hipotecario.com.ar
454731,VISA,CREDIT,,"BANCO DE CREDITO E HIPOTECARIO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,0810-222-2472,www.hipotecario.com.ar
454819,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454820,VISA,CREDIT,CLASSIC,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
454824,VISA,CREDIT,,"FIlanBANCO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
454854,VISA,CREDIT,,FILIAL LATINOAMERICANA DE TARJETAS DE CREDITO FILA,EC,ECU,Ecuador,-1.83124,-78.1834,,
455177,VISA,CREDIT,CLASSIC,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
455178,VISA,CREDIT,CLASSIC,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
455179,VISA,CREDIT,PREMIER,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
455191,VISA,CREDIT,,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
455552,VISA,CREDIT,,BANCO DEL AZUAY,EC,ECU,Ecuador,-1.83124,-78.1834,,
455553,VISA,CREDIT,,BANCO DEL AZUAY,EC,ECU,Ecuador,-1.83124,-78.1834,,
455556,VISA,CREDIT,,"FIlanBANCO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
455587,VISA,CREDIT,,"FIlanBANCO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
456358,VISA,CREDIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
456359,VISA,CREDIT,PREMIER,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
456363,VISA,CREDIT,CLASSIC,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
456509,VISA,CREDIT,CLASSIC,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
456510,VISA,CREDIT,GOLD PREMIUM,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
456511,VISA,CREDIT,,BANCO LA PREVISORA,EC,ECU,Ecuador,-1.83124,-78.1834,593 445 630 00,www.bprevisora.com/
456512,VISA,CREDIT,CLASSIC,"BANCO DEL PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,(02) 2999-999,www.pichincha.com/portal/
456787,VISA,CREDIT,PREMIER,"BANCO COMERCIAL DE MANABI, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bcmanabi.com/
456788,VISA,CREDIT,CLASSIC,"BANCO COMERCIAL DE MANABI, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bcmanabi.com/
456789,VISA,CREDIT,CLASSIC,"BANCO COMERCIAL DE MANABI, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bcmanabi.com/
456872,VISA,CREDIT,PREMIER,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
456889,VISA,CREDIT,CLASSIC,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
456898,VISA,CREDIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
456899,VISA,CREDIT,CLASSIC,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
459353,VISA,DEBIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
459424,VISA,DEBIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
462943,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
465775,VISA,CREDIT,SIGNATURE,"BANCO INTERNACIONAL, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 360 360,www.bancointernacional.com.ec
468570,VISA,DEBIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
468571,VISA,DEBIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
469716,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
469717,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
473293,VISA,CREDIT,CLASSIC,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
473294,VISA,CREDIT,PREMIER,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
473296,VISA,CREDIT,CORPORATE T&E,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
474514,VISA,CREDIT,PLATINUM,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
475398,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
476397,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
476942,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
477179,VISA,CREDIT,INFINITE,"BANCO DE MACHALA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 800 700,www.bancomachala.com
477275,VISA,CREDIT,CLASSIC,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
477276,VISA,CREDIT,GOLD,"BANCO DEL PACIFICO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,www.bancodelpacifico.com
477281,VISA,CREDIT,CORPORATE T&E,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
480273,VISA,CREDIT,,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
484696,VISA,CREDIT,PLATINUM,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
484697,VISA,CREDIT,SIGNATURE,"VAZCORP SOCIEDAD FINANCIERA, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
489956,VISA,CREDIT,PREMIER,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA A,EC,ECU,Ecuador,-1.83124,-78.1834,,
489957,VISA,CREDIT,CLASSIC,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA A,EC,ECU,Ecuador,-1.83124,-78.1834,,
489958,VISA,CREDIT,CLASSIC,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,EC,ECU,Ecuador,-1.83124,-78.1834,(593-7) 41-35-200,www.mutualistaazuay.com
491659,VISA,CREDIT,BUSINESS,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
492418,VISA,CREDIT,PLATINUM,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
493127,VISA,CREDIT,CLASSIC,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
493128,VISA,CREDIT,GOLD PREMIUM,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
493129,VISA,CREDIT,CLASSIC,"BANCO AMAZONAS, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700 45 64 56,www.bancoamazonas.com
493176,VISA,DEBIT,CLASSIC,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
493779,VISA,CREDIT,BUSINESS,"BANCO PICHINCHA, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,,
493849,VISA,CREDIT,CLASSIC,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
493850,VISA,CREDIT,PREMIER,"BANCO BOLIVARIANO, C.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1700-50 50 50,www.bolivariano.com
494391,VISA,DEBIT,GOLD PREMIUM,"BANCO DEL AUSTRO, S.A.",EC,ECU,Ecuador,-1.83124,-78.1834,1800 22 87 87,www.bancodelaustro.com
